iter	RMSE
0	1.085294971
1	1.00885275
2	0.9356814951
3	0.8696399948
4	0.8080132323
5	0.7513636729
6	0.6985346723
7	0.6497054221
8	0.6036742113
9	0.5616656459
10	0.5236666401
11	0.4887649548
12	0.4566971236
13	0.4261814525
14	0.3985642339
15	0.3727093502
16	0.3485321311
17	0.3263822306
18	0.306229043
19	0.2877354272
20	0.2699908344
21	0.2548421558
22	0.2403293805
23	0.227131565
24	0.2150235043
25	0.2030882606
26	0.1925196334
27	0.1826884082
28	0.1737035858
29	0.1658277297
30	0.1583419847
31	0.1519581836
32	0.145880767
33	0.1399551919
34	0.1347187145
35	0.1301720628
36	0.1256911085
37	0.1220998646
38	0.1182363567
39	0.1151342796
40	0.1123312228
41	0.1098803726
42	0.1073940596
43	0.105184823
44	0.102938568
45	0.101237999
46	0.09958745407
47	0.09769217035
48	0.09650541421
49	0.09531221423
50	0.09428873512
51	0.09301693327
52	0.09192122385
53	0.09096644908
54	0.08991042292
55	0.089215983
56	0.088330038
57	0.08754034419
58	0.08677194968
59	0.08606408557
60	0.08537241048
61	0.08446840661
62	0.08399167578
63	0.08338494124
64	0.08297924777
65	0.08216752725
66	0.08144211043
67	0.08125578799
68	0.0808935192
69	0.0802488511
70	0.08000836984
71	0.0798985585
72	0.07935928952
73	0.07888656844
74	0.07855387967
75	0.0781868401
76	0.07742518427
77	0.07713837132
78	0.07644206093
79	0.07630714845
80	0.07564554089
81	0.07481731084
82	0.07448281053
83	0.07443822464
84	0.07405696057
85	0.07382953879
86	0.07357419388
87	0.07356078351
88	0.0735491809
89	0.07345471458
90	0.07324311481
91	0.07322843916
92	0.07293350164
93	0.07279851603
94	0.072449382
95	0.07229419541
96	0.07201382682
97	0.07166955435
98	0.07126691121
99	0.07090119617
100	0.07063258285
101	0.07060283156
102	0.07059802917
103	0.07058241109
104	0.07056435645
105	0.07056435636
106	0.07030570632
107	0.07020393077
108	0.06980405557
109	0.06978057991
110	0.06976081151
111	0.06973219277
112	0.0697123389
113	0.06960472158
114	0.06958850611
115	0.0695573596
116	0.06954751173
117	0.06954253319
118	0.06952535191
119	0.06950809094
120	0.06936659359
121	0.06922620978
122	0.0690202088
123	0.06896055013
124	0.06868271903
125	0.06866911351
126	0.0684590293
127	0.06825492411
128	0.06813141087
129	0.06813141076
130	0.06811688036
131	0.06809620726
132	0.06805981508
133	0.06804443878
134	0.06789574507
135	0.06775715887
136	0.0677455037
137	0.06773804172
138	0.0677201551
139	0.06769341497
140	0.06765611873
141	0.06764409642
142	0.06749880378
143	0.06713210962
144	0.06711918367
145	0.06692321399
146	0.06690349217
147	0.06688658928
148	0.06679436706
149	0.06677944708
150	0.06655028859
151	0.06642815544
152	0.06616782996
153	0.06598810187
154	0.06597853979
155	0.06597065268
156	0.06567670837
157	0.0656551884
158	0.06559870514
159	0.06557949963
160	0.06540631852
161	0.06540254667
162	0.0653912458
163	0.06537425757
164	0.06518712032
165	0.06506016453
166	0.06505728087
167	0.06488724405
168	0.06471721521
169	0.06461557833
170	0.06460154809
171	0.06458424641
172	0.06447883034
173	0.06431137447
174	0.06414489554
175	0.0641194824
176	0.0640691564
177	0.06406914778
178	0.06405305172
179	0.0640331912
180	0.06402582039
181	0.06401075597
182	0.06399702314
183	0.06396357089
184	0.06388149449
185	0.06386616771
186	0.06360844264
187	0.06352926635
188	0.0634087312
189	0.06339302752
190	0.06337093422
191	0.0633628761
192	0.0633494718
193	0.06332159101
194	0.06331449481
195	0.06322508765
196	0.06306119706
197	0.06304790419
198	0.06302731418
199	0.06297092544
200	0.06296300701
201	0.06272352142
202	0.06263354502
203	0.06262406084
204	0.06261211738
205	0.062595735
206	0.06258228052
207	0.06252342882
208	0.06251270354
209	0.06241026722
210	0.0623026834
211	0.06217585713
212	0.06212123815
213	0.06211901745
214	0.0621077132
215	0.0621020434
216	0.06209608772
217	0.06208245538
218	0.06193164347
219	0.06177267623
220	0.06170707395
221	0.06170357661
222	0.06169205998
223	0.06154846357
224	0.06153688256
225	0.06152066725
226	0.06149480787
227	0.06148263034
228	0.06146224609
229	0.0613245254
230	0.06131660021
231	0.06130839834
232	0.06129830778
233	0.0612469798
234	0.06119915243
235	0.06115900234
236	0.06115738734
237	0.0610972157
238	0.06109377662
239	0.06099308678
240	0.06098951832
241	0.0608929667
242	0.06088543723
243	0.06087724098
244	0.06087260736
245	0.06079602738
246	0.06068098237
247	0.06061005359
248	0.06060287239
249	0.06059260434
250	0.06058000952
251	0.06040206324
252	0.06039409514
253	0.06038759202
254	0.06024345446
255	0.06015775197
256	0.06014332322
257	0.06010048016
258	0.06009348827
259	0.0600914888
260	0.06002003352
261	0.06001056111
262	0.06000764542
263	0.0599552405
264	0.05981632117
265	0.05980911913
266	0.05980550374
267	0.05979704079
268	0.05975228191
269	0.05974566229
270	0.05969297163
271	0.05968803666
272	0.05968238248
273	0.05967378558
274	0.05955745399
275	0.0595561647
276	0.05945184358
277	0.05933737783
278	0.05923565025
279	0.05913733438
280	0.05896272377
281	0.058880965
282	0.05882785481
283	0.05878165246
284	0.05874117687
285	0.05868185547
286	0.05866628384
287	0.05866341628
288	0.05859101768
289	0.05845039904
290	0.05843975641
291	0.05843165416
292	0.05827896217
293	0.05827112999
294	0.05822571585
295	0.05807448293
296	0.05807246857
297	0.05801918369
298	0.05798214246
299	0.05791707065
300	0.0579127131
301	0.0578547673
302	0.05777234409
303	0.05768228461
304	0.05767616343
305	0.05762576728
306	0.0576207485
307	0.05756727964
308	0.05750322784
309	0.05749068932
310	0.05741153858
311	0.05734926293
312	0.05725396933
313	0.05724907663
314	0.05718710898
315	0.05718072432
316	0.05710431
317	0.05709633623
318	0.05707151007
319	0.05705431136
320	0.05703638207
321	0.05697845195
322	0.05697353297
323	0.05695448181
324	0.05694159764
325	0.05692783131
326	0.05692378491
327	0.05692033825
328	0.05691612839
329	0.05691279092
330	0.05690994843
331	0.05682758531
332	0.05682167614
333	0.05670900776
334	0.05664813762
335	0.05659148648
336	0.05657436967
337	0.05656394714
338	0.05652068123
339	0.05646444733
340	0.05645266532
341	0.05638534391
342	0.05637926724
343	0.05634810248
344	0.0562677112
